CustomerID,Recency,Frequency,Monetary
12347.0,30,6,4085.1800000000003
12348.0,66,4,1797.24
12349.0,9,1,1757.5500000000002
12350.0,301,1,334.40000000000003
12352.0,27,7,1545.4100000000003
12353.0,194,1,89.0
12354.0,223,1,1079.3999999999999
12355.0,205,1,459.4
12356.0,13,3,2811.43
12357.0,24,1,6207.67
12358.0,141,1,484.85999999999996
12359.0,48,4,6372.58
12360.0,43,3,2662.06
12361.0,278,1,189.89999999999998
12362.0,26,9,4674.389999999999
12363.0,100,2,552.0
12364.0,31,3,1002.78
12365.0,282,1,320.68999999999994
12370.0,42,4,3545.6899999999996
12371.0,35,2,1887.96
12372.0,62,3,1298.0400000000002
12373.0,302,1,364.6
12374.0,16,1,742.93
12375.0,1,2,455.42
12377.0,306,2,1628.12
12378.0,120,1,4008.62
12379.0,72,2,850.29
12380.0,12,4,2720.5600000000004
12381.0,24,4,1656.9500000000003
12383.0,175,5,1839.3100000000002
12384.0,19,2,585.2700000000001
12386.0,328,2,401.9
12388.0,6,6,2780.6600000000003
12390.0,70,1,549.84
12391.0,12,1,460.89
12393.0,63,4,1582.6000000000001
12394.0,54,2,1272.48
12395.0,10,12,2998.2799999999997
12397.0,26,2,2409.9000000000005
12398.0,36,1,1635.6599999999999
12399.0,110,4,1108.65
12401.0,294,1,84.3
12402.0,314,1,225.6
12403.0,40,1,409.7
12405.0,139,1,1710.3900000000003
12406.0,12,2,3415.3
12407.0,40,5,1708.1199999999997
12408.0,23,5,2844.6500000000005
12409.0,69,2,11063.57
12410.0,299,2,681.0799999999999
12412.0,65,3,1226.88
12413.0,57,3,694.1500000000001
12414.0,208,3,562.41
12415.0,15,20,124587.18
12417.0,30,8,3209.0699999999997
12418.0,103,1,668.58
12420.0,54,1,600.3900000000001
12421.0,6,4,807.0400000000001
12422.0,86,3,803.5599999999998
12423.0,91,7,1640.47
12424.0,153,2,1760.9599999999996
12425.0,69,1,777.1999999999999
12426.0,185,1,582.73
12427.0,12,3,708.3700000000001
12428.0,16,9,7877.2
12429.0,0,4,3750.4
12430.0,34,1,256.4
12431.0,26,15,6416.389999999999
12432.0,33,5,5059.319999999999
12433.0,0,5,10737.18
12434.0,75,2,792.9399999999998
12435.0,70,2,7829.890000000001
12436.0,90,1,509.01000000000005
12437.0,0,17,4730.76
12438.0,5,2,2906.8500000000004
12441.0,357,1,173.55
12444.0,12,5,5005.46
12445.0,12,1,133.4
12446.0,48,1,1002.3100000000001
12447.0,234,1,476.49
12448.0,35,1,449.4500000000001
12449.0,13,4,4067.2900000000004
12450.0,147,2,197.88
12451.0,1,5,9035.52
12452.0,7,2,428.57
12453.0,125,1,707.0899999999999
12455.0,64,6,2466.8599999999997
12456.0,35,3,3153.89
12457.0,57,6,1927.5299999999997
12458.0,62,2,947.4
12461.0,85,2,826.88
12462.0,9,2,1124.01
12463.0,44,4,1319.5800000000002
12464.0,1,8,1212.05
12465.0,8,2,733.8900000000001
12468.0,178,2,729.54
12471.0,1,29,16560.980000000003
12472.0,23,7,6341.63
12473.0,20,4,2848.23
12474.0,8,18,7189.62
12475.0,44,1,723.3799999999999
12476.0,6,10,6576.77
12477.0,13,6,13121.46
12479.0,2,1,477.30000000000007
12480.0,19,4,3281.6299999999997
12481.0,13,10,5590.860000000001
12483.0,8,8,2327.13
12484.0,23,6,4541.719999999999
12488.0,0,3,1298.6600000000003
12489.0,327,1,334.92999999999995
12490.0,8,9,4955.629999999999
12491.0,29,1,460.40000000000003
12492.0,54,2,263.21
12493.0,156,2,416.79
12494.0,6,6,1139.35
12497.0,72,1,1043.1
12498.0,12,3,403.7
12500.0,14,11,4206.27
12501.0,327,1,2089.6800000000003
12502.0,86,5,3723.87
12504.0,21,1,114.0
12506.0,223,1,73.50000000000001
12507.0,125,2,1258.06
12508.0,17,2,398.27
12509.0,275,1,176.5
12510.0,133,2,982.5699999999999
12512.0,57,2,138.03
12513.0,103,1,586.79
12514.0,258,1,1017.6800000000001
12515.0,344,1,383.70000000000005
12516.0,68,2,1312.06
12517.0,19,5,2483.04
